"","county","Tract","FIPS","County","Bay Area"
"600","041",167917,"06041119100",100310,87000
"601","041",79177,"06041119201",100310,87000
"602","041",174183,"06041119202",100310,87000
"603","041",104074,"06041120000",100310,87000
"604","041",126127,"06041121100",100310,87000
"605","041",91792,"06041121200",100310,87000
"606","041",177232,"06041123000",100310,87000
"607","041",139079,"06041124100",100310,87000
"608","041",151765,"06041124200",100310,87000
"609","041",97125,"06041125000",100310,87000
"610","041",170591,"06041126100",100310,87000
"611","041",104444,"06041126200",100310,87000
"612","041",149080,"06041127000",100310,87000
"613","041",137703,"06041128100",100310,87000
"614","041",143125,"06041128200",100310,87000
"615","041",36550,"06041129000",100310,87000
"616","041",133571,"06041130201",100310,87000
"617","041",107054,"06041130202",100310,87000
"618","041",122750,"06041131100",100310,87000
"619","041",85156,"06041132100",100310,87000
"620","041",57308,"06041132200",100310,87000
"621","041",61696,"06041133000",100310,87000
"622","055",68362,"06055200201",74609,87000
"623","055",52620,"06055200202",74609,87000
"624","055",58808,"06055200203",74609,87000
"625","055",58023,"06055200301",74609,87000
"626","055",83293,"06055200302",74609,87000
"627","055",95128,"06055200400",74609,87000
"628","055",57149,"06055200501",74609,87000
"629","055",61964,"06055200503",74609,87000
"630","055",70619,"06055200504",74609,87000
"631","055",67073,"06055200505",74609,87000
"632","055",88673,"06055200601",74609,87000
"633","055",67664,"06055200602",74609,87000
"634","055",105795,"06055200703",74609,87000
"635","055",56887,"06055200704",74609,87000
"636","055",74250,"06055200705",74609,87000
"637","055",105642,"06055200706",74609,87000
"638","055",73293,"06055200707",74609,87000
"639","055",70675,"06055200802",74609,87000
"640","055",81838,"06055200803",74609,87000
"641","055",64161,"06055200804",74609,87000
"642","055",98906,"06055201003",74609,87000
"643","055",71165,"06055201004",74609,87000
"644","055",95179,"06055201005",74609,87000
"645","055",75000,"06055201006",74609,87000
"646","055",89474,"06055201007",74609,87000
"647","055",132500,"06055201101",74609,87000
"648","055",96250,"06055201102",74609,87000
"649","055",59024,"06055201200",74609,87000
"650","055",72194,"06055201300",74609,87000
"651","055",129028,"06055201401",74609,87000
"652","055",135357,"06055201402",74609,87000
"653","055",77813,"06055201403",74609,87000
"654","055",90208,"06055201500",74609,87000
"655","055",60500,"06055201601",74609,87000
"656","055",98333,"06055201602",74609,87000
"657","055",72308,"06055201700",74609,87000
"658","055",64432,"06055201800",74609,87000
"659","055",85000,"06055201900",74609,87000
"660","055",60534,"06055202000",74609,87000
"661","075",59519,"06075010100",87701,87000
"662","075",110536,"06075010200",87701,87000
"663","075",99120,"06075010300",87701,87000
"664","075",102986,"06075010400",87701,87000
"665","075",119750,"06075010500",87701,87000
"666","075",36949,"06075010600",87701,87000
"667","075",22425,"06075010700",87701,87000
"668","075",94875,"06075010800",87701,87000
"669","075",117181,"06075010900",87701,87000
"670","075",115100,"06075011000",87701,87000
"671","075",84442,"06075011100",87701,87000
"672","075",100139,"06075011200",87701,87000
"673","075",24426,"06075011300",87701,87000
"674","075",50223,"06075011700",87701,87000
"675","075",20800,"06075011800",87701,87000
"676","075",72364,"06075011901",87701,87000
"677","075",74077,"06075011902",87701,87000
"678","075",37219,"06075012000",87701,87000
"679","075",53595,"06075012100",87701,87000
"680","075",43698,"06075012201",87701,87000
"681","075",31202,"06075012202",87701,87000
"682","075",15272,"06075012301",87701,87000
"683","075",39081,"06075012302",87701,87000
"684","075",18979,"06075012401",87701,87000
"685","075",40453,"06075012402",87701,87000
"686","075",19328,"06075012501",87701,87000
"687","075",11971,"06075012502",87701,87000
"688","075",125139,"06075012601",87701,87000
"689","075",122212,"06075012602",87701,87000
"690","075",131568,"06075012700",87701,87000
"691","075",126716,"06075012800",87701,87000
"692","075",142500,"06075012901",87701,87000
